date,symbol,open,high,low,close,volume,amount
2025-10-10,STK0001,8.2803,8.6579,8.0811,8.4544,2233613,18883930.27
2025-10-13,STK0001,8.3499,8.511,8.1318,8.2918,5593082,46376650.1
2025-10-14,STK0001,8.2364,8.4745,8.1175,8.3539,3133711,26178633.16
2025-10-15,STK0001,8.3309,8.5981,8.2597,8.5252,2726260,23241957.87
2025-10-16,STK0001,8.5102,8.7839,8.3176,8.5895,4394899,37749947.33
2025-10-17,STK0001,8.6899,8.756,8.6255,8.6917,4698604,40838654.35
2025-10-20,STK0001,8.7495,8.8354,8.6666,8.7524,3544791,31025327.6
2025-10-21,STK0001,8.702,8.9429,8.5026,8.7426,6038550,52792871.33
2025-10-22,STK0001,8.7609,8.8851,8.492,8.6141,2777252,23923565.92
2025-10-23,STK0001,8.5931,8.8853,8.4292,8.719,3879159,33822437.9
2025-10-24,STK0001,8.7041,8.8398,8.567,8.7026,3724824,32415661.96
2025-10-27,STK0001,8.7123,9.1275,8.5639,8.9747,4491828,40312734.14
2025-10-28,STK0001,9.0081,9.2588,8.928,9.1772,5018918,46059704.8
2025-10-29,STK0001,9.1586,9.2676,9.0894,9.1981,3145995,28937212.96
2025-10-30,STK0001,9.257,9.3442,9.0246,9.1104,5748576,52372077.43
2025-10-31,STK0001,9.0482,9.0987,8.8974,8.9472,4453152,39843425.9
2025-11-03,STK0001,8.9476,9.3935,8.7498,9.1903,2215963,20365373.59
2025-11-04,STK0001,9.3347,9.4141,9.1406,9.2191,2172249,20026134.35
2025-11-05,STK0001,9.2314,9.4571,9.0937,9.3182,4378663,40801090.41
2025-11-06,STK0001,9.3986,9.5886,8.8915,9.075,4245479,38527650.97
2025-11-07,STK0001,9.08,9.4044,8.8981,9.2197,4385035,40428885.61
2025-11-10,STK0001,9.2519,9.4446,9.1401,9.3318,4600340,42929670.89
2025-11-11,STK0001,9.3287,9.4495,9.001,9.1192,5045649,46012149.47
2025-11-12,STK0001,9.1099,9.3365,8.8065,9.0312,6481740,58538079.61
2025-11-13,STK0001,8.9891,9.221,8.8316,9.0622,3173750,28761265.41
2025-11-14,STK0001,9.0857,9.2741,8.8261,9.013,3109740,28028038.8
2025-11-17,STK0001,8.9671,9.2074,8.763,9.0025,3201828,28824445.36
2025-11-18,STK0001,9.0385,9.2203,8.7886,8.969,5162294,46300561.43
2025-11-19,STK0001,9.0276,9.0841,8.8826,8.9386,7064062,63142565.37
2025-11-20,STK0001,8.9582,9.1339,8.8245,8.9996,3838821,34547742.82
2025-11-21,STK0001,8.9841,9.317,8.9451,9.2767,1878245,17423925.49
2025-11-24,STK0001,9.302,9.4603,8.7526,8.9041,2472883,22018830.54
2025-11-25,STK0001,8.8876,9.1007,8.6575,8.8702,3324363,29487718.09
2025-11-26,STK0001,8.9201,9.0432,8.7618,8.8844,3661099,32526580.34
2025-11-27,STK0001,8.7873,9.0437,8.6822,8.9369,3903824,34887946.94
2025-11-28,STK0001,8.9189,8.9441,8.7688,8.7937,4577264,40250991.33
2025-12-01,STK0001,8.6893,8.8985,8.2489,8.4524,4009418,33889267.42
2025-12-02,STK0001,8.3769,8.4785,8.3403,8.4416,6575960,55511614.94
2025-12-03,STK0001,8.511,8.6889,8.4859,8.6634,3681180,31891557.88
2025-12-04,STK0001,8.7101,8.7768,8.3927,8.4575,3474486,29385350.82
2025-12-05,STK0001,8.421,8.5807,8.3915,8.5507,5637661,48206016.16
2025-12-08,STK0001,8.474,8.5951,8.3683,8.4893,2837767,24090586.35
2025-12-09,STK0001,8.3396,8.6766,8.2239,8.5579,5662332,48457783.94
2025-12-10,STK0001,8.5301,8.6084,8.3104,8.3875,5168325,43349392.87
2025-12-11,STK0001,8.5102,8.5372,8.3579,8.3845,4778016,40061090.05
2025-12-12,STK0001,8.4064,8.5812,8.368,8.5422,8840310,75515916.33
2025-12-15,STK0001,8.5136,8.724,8.4213,8.6304,4011610,34621714.54
2025-12-16,STK0001,8.6545,8.8906,8.6251,8.8605,10366510,91852934.11
2025-12-17,STK0001,8.7779,9.2041,8.6194,9.0408,4564175,41263815.55
2025-12-18,STK0001,9.0247,9.2321,8.9637,9.1701,3121345,28623061.82
2025-12-19,STK0001,9.1756,9.455,9.0935,9.3711,5100023,47792954.43
2025-12-22,STK0001,9.3663,9.586,9.2626,9.4811,3458001,32785716.49
2025-12-23,STK0001,9.5262,9.7597,9.4159,9.648,3961303,38218526.13
2025-12-24,STK0001,9.6679,9.6876,9.5518,9.5713,5897769,56449114.49
2025-12-25,STK0001,9.6097,9.6537,9.4633,9.5068,6127473,58252811.78
2025-12-26,STK0001,9.4676,9.6744,9.197,9.4024,4042905,38013027.15
2025-12-29,STK0001,9.4532,9.5693,9.434,9.55,7112434,67923483.18
2025-12-30,STK0001,9.6438,9.7758,9.2447,9.373,7557687,70838511.57
2025-12-31,STK0001,9.3186,9.6435,9.1951,9.5173,8475234,80661705.92
2026-01-01,STK0001,9.4668,9.6827,9.3753,9.5901,6136891,58853144.22
2026-01-02,STK0001,9.6672,9.9069,9.552,9.7902,8260658,80873111.97
2026-01-05,STK0001,9.7789,10.0677,9.5838,9.8707,2614820,25810165.46
2026-01-06,STK0001,9.9542,10.44,9.7417,10.2218,4549249,46501468.71
2026-01-07,STK0001,10.1947,10.4653,10.1132,10.3823,3754009,38975403.05
2026-01-08,STK0001,10.4734,10.572,10.0934,10.1893,5242288,53415382.79
2026-01-09,STK0001,10.1974,10.3186,10.1201,10.241,4102039,42009019.02
2026-01-12,STK0001,10.2569,10.3906,9.9291,10.0602,4714173,47425562.98
2026-01-13,STK0001,10.1551,10.335,9.8904,10.0688,9616090,96822222.53
2026-01-14,STK0001,10.0469,10.3555,9.9741,10.2809,4815523,49508079.23
2026-01-15,STK0001,10.223,10.4688,10.1248,10.3692,5897905,61156501.49
2026-01-16,STK0001,10.3413,10.5833,9.9529,10.1914,4687115,47768189.54
2026-01-19,STK0001,10.2191,10.2509,9.9623,9.9934,5058902,50555674.66
2026-01-20,STK0001,9.9,10.0494,9.7752,9.9244,4871210,48343762.26
2026-01-21,STK0001,9.9624,10.1454,9.5791,9.7583,5664417,55274905.85
2026-01-22,STK0001,9.7268,9.7799,9.5853,9.638,7205614,69447388.66
2026-01-23,STK0001,9.7046,9.7345,9.5843,9.614,8708646,83724690.01
2026-01-26,STK0001,9.4769,9.815,9.4278,9.7644,5439142,53109947.6
2026-01-27,STK0001,9.7184,10.1308,9.4936,9.9018,6116086,60560119.84
2026-01-28,STK0001,9.8021,9.8238,9.5404,9.5616,3329106,31831558.93
2026-01-29,STK0001,9.5143,9.8065,9.4541,9.7448,4832230,47089297.92
2026-01-30,STK0001,9.7593,9.9739,9.7328,9.9468,6915978,68792148.18
2026-02-02,STK0001,9.9362,10.1035,9.891,10.0578,6738780,67777251.82
2026-02-03,STK0001,10.0425,10.4695,9.8792,10.3019,5499379,56654232.08
2026-02-04,STK0001,10.2921,10.3699,9.7316,9.8057,6726235,65955470.94
2026-02-05,STK0001,9.8177,9.9658,9.5816,9.7284,5683248,55289081.95
2026-02-06,STK0001,9.6697,9.9457,9.5191,9.7931,7226206,70767206.87
2026-02-09,STK0001,9.8348,10.0466,9.299,9.5037,5254583,49938101.33
2026-02-10,STK0001,9.5416,9.7533,9.5215,9.7327,4236265,41230455.73
2026-02-11,STK0001,9.7552,10.0112,9.5443,9.7993,5434770,53256767.26
2026-02-12,STK0001,9.832,10.1895,9.6724,10.0267,1722541,17271370.77
2026-02-13,STK0001,10.0445,10.1022,9.8873,9.9444,5577857,55468528.5
2026-02-16,STK0001,10.0666,10.2915,9.8675,10.0919,1381684,13943769.45
2026-02-17,STK0001,10.0866,10.4543,9.868,10.2325,2717728,27809092.79
2026-02-18,STK0001,10.2136,10.2938,10.0997,10.1795,5903630,60096266.27
2026-02-19,STK0001,10.1336,10.4385,9.8992,10.2025,5981512,61026086.41
2026-02-20,STK0001,10.1395,10.3874,10.0132,10.2596,3340985,34277331.23
2026-02-23,STK0001,10.1833,10.3865,10.0216,10.2242,3952496,40411089.79
2026-02-24,STK0001,10.1698,10.468,9.9192,10.2162,8206542,83839530.58
2026-02-25,STK0001,10.2119,10.3675,10.1065,10.2616,4288134,44003271.09
2026-02-26,STK0001,10.2822,10.525,10.0694,10.3115,11385935,117406208.44
2026-02-27,STK0001,10.3147,10.5298,10.2185,10.4326,5002419,52188048.06
2026-03-02,STK0001,10.3848,10.5964,9.9775,10.1851,5652743,57573558.28
2026-03-03,STK0001,10.2402,10.4022,9.9669,10.1271,8477608,85853303.97
2026-03-04,STK0001,10.1721,10.6244,10.1011,10.5508,5012490,52885886.48
2026-03-05,STK0001,10.5407,10.6622,10.2489,10.3684,3358296,34820033.22
2026-03-06,STK0001,10.3278,10.4239,10.1848,10.2805,4487248,46130942.66
2026-03-09,STK0001,10.3143,10.3535,10.2319,10.2709,4537622,46605603.32
2026-03-10,STK0001,10.2825,10.5283,10.2549,10.5001,2813121,29537982.73
2026-03-11,STK0001,10.4092,10.6437,10.3055,10.5386,4302836,45345970.21
2026-03-12,STK0001,10.5343,10.821,10.5086,10.7947,3728756,40250652.08
2026-03-13,STK0001,10.8116,11.035,10.7489,10.9713,6640524,72854929.98
2026-03-16,STK0001,10.9122,11.3126,10.7084,11.1052,4837151,53717371.1
2026-03-17,STK0001,11.1178,11.4655,10.9145,11.2596,4254577,47904994.99
2026-03-18,STK0001,11.1618,11.9431,10.9498,11.7206,4398168,51549063.48
2026-03-19,STK0001,11.8149,11.9247,11.493,11.6008,4926808,57154894.26
2026-03-20,STK0001,11.688,11.9506,10.8632,11.1129,5570673,61906221.36
2026-03-23,STK0001,11.0961,11.6424,10.9223,11.4629,3159642,36218693.25
2026-03-24,STK0001,11.4879,11.5498,11.4317,11.4935,3039823,34938136.86
2026-03-25,STK0001,11.3285,11.6008,11.2684,11.5395,6369768,73504110.67
2026-03-26,STK0001,11.4597,12.0306,11.2541,11.8185,3754056,44367497.75
2026-03-27,STK0001,11.7977,11.8683,11.4464,11.5152,2655819,30582372.01
2026-03-30,STK0001,11.4414,11.5978,11.2074,11.3628,5125584,58240735.96
2026-03-31,STK0001,11.4116,11.6947,10.7922,11.0667,5059573,55992993.98
2026-04-01,STK0001,11.2002,11.2236,10.8705,10.8933,2550202,27780128.3
2026-04-02,STK0001,10.8167,11.0939,10.7909,11.0675,4665702,51637849.71
2026-04-03,STK0001,11.0121,11.4928,10.7385,11.2142,5623008,63057729.18
2026-04-06,STK0001,11.2301,11.5665,11.0566,11.3906,4954461,56434278.38
2026-04-07,STK0001,11.5012,11.5578,11.0743,11.1291,5311110,59107690.58
2026-04-08,STK0001,11.0477,11.2978,10.3658,10.6059,2591845,27488728.86
2026-04-09,STK0001,10.6217,10.858,10.3028,10.5373,4783674,50406769.86
2026-04-10,STK0001,10.653,10.8057,10.4159,10.5674,3867554,40869999.71
2026-04-13,STK0001,10.4632,10.9574,10.2926,10.7817,3623527,39067603.2
2026-04-14,STK0001,10.6991,11.0085,10.6105,10.9181,5954192,65008435.37
2026-04-15,STK0001,10.8904,10.9653,10.8559,10.9308,7480202,81764316.51
2026-04-16,STK0001,10.8967,11.3701,10.7259,11.1946,8320260,93142017.14
2026-04-17,STK0001,11.2493,11.3481,11.0773,11.1754,7114241,79504678.5
2026-04-20,STK0001,11.1916,11.4256,10.9984,11.2317,4448272,49961721.53
2026-04-21,STK0001,11.1127,11.3832,10.8768,11.1465,5385887,60033850.87
2026-04-22,STK0001,11.181,11.2081,11.0682,11.095,6112268,67815552.05
2026-04-23,STK0001,11.0566,11.3208,10.883,11.1458,4808688,53596702.13
2026-04-24,STK0001,11.2314,11.3949,11.1492,11.3121,4933522,55808532.25
2025-07-21,STK0002,15.1208,15.4808,14.9277,15.2856,972739,14868916.95
2025-07-22,STK0002,15.2406,15.3414,15.0327,15.1328,1048891,15872657.33
2025-07-23,STK0002,15.0802,15.1746,14.9442,15.0384,1199748,18042330.3
2025-07-24,STK0002,15.1012,15.2925,14.7705,14.96,1406184,21036480.88
2025-07-25,STK0002,14.983,15.1127,14.4213,14.5472,1089786,15853376.59
2025-07-28,STK0002,14.6042,14.9008,13.8855,14.1734,1054357,14943793.51
2025-07-29,STK0002,14.1726,15.116,13.8484,14.778,1230672,18186862.31
2025-07-30,STK0002,14.8236,15.1269,14.5143,14.8175,618632,9166599.91
2025-07-31,STK0002,14.7803,15.1721,14.6603,15.0499,1429931,21520377.08
2025-08-01,STK0002,15.2526,15.3793,14.6942,14.8173,1189821,17629877.14
2025-08-04,STK0002,14.6785,14.9799,14.5632,14.8631,1228415,18258087.74
2025-08-05,STK0002,14.976,15.0525,14.6814,14.7568,1711678,25258859.3
2025-08-06,STK0002,14.8784,15.2311,13.7386,14.0723,605781,8524705.7
2025-08-07,STK0002,14.0005,14.158,13.6866,13.8423,617587,8548835.44
2025-08-08,STK0002,14.0287,14.1293,13.3463,13.4427,1369739,18412975.69
2025-08-11,STK0002,13.5232,13.8136,12.546,12.8214,1241282,15914932.57
2025-08-12,STK0002,12.8963,13.0405,12.4397,12.5804,1352630,17016614.56
2025-08-13,STK0002,12.5825,12.8226,12.5472,12.7867,1086687,13895099.06
2025-08-14,STK0002,12.77,12.9325,12.6969,12.8589,1611203,20718252.84
2025-08-15,STK0002,12.8427,13.3722,12.6282,13.1525,1752382,23048223.76
2025-08-18,STK0002,13.1834,13.4926,12.9196,13.2279,1510853,19985437.81
2025-08-19,STK0002,13.3396,13.4339,13.2482,13.3424,1172501,15644027.3
2025-08-20,STK0002,13.357,13.6655,12.9412,13.2473,614441,8139656.59
2025-08-21,STK0002,13.175,13.6415,12.8908,13.3534,1662018,22193612.78
2025-08-22,STK0002,13.4196,13.772,13.1309,13.4819,1951023,26303563.04
2025-08-25,STK0002,13.5567,13.6548,13.2071,13.3033,1592488,21185383.06
2025-08-26,STK0002,13.3557,13.5317,13.3134,13.489,915600,12350548.04
2025-08-27,STK0002,13.5495,13.9614,13.2521,13.6615,1542571,21073903.81
2025-08-28,STK0002,13.6394,13.7626,13.4435,13.5661,1660776,22530191.3
2025-08-29,STK0002,13.4907,13.7097,13.1183,13.3348,2039403,27195045.68
2025-09-01,STK0002,13.2655,13.5239,13.0066,13.265,872418,11572656.58
2025-09-02,STK0002,13.1355,13.3065,13.0705,13.241,1087327,14397291.43
2025-09-03,STK0002,13.2598,13.5284,12.9952,13.2636,1559165,20680180.89
2025-09-04,STK0002,13.257,13.5697,12.6849,12.9913,1215671,15793163.92
2025-09-05,STK0002,12.9571,13.3,12.7141,13.0552,813858,10625098.62
2025-09-08,STK0002,12.8257,13.4621,12.6699,13.3005,1383003,18394611.84
2025-09-09,STK0002,13.2013,13.7317,12.9087,13.434,1467235,19710821.77
2025-09-10,STK0002,13.5246,13.9165,13.3335,13.7226,1249430,17145388.16
2025-09-11,STK0002,13.668,14.2167,13.4065,13.9498,1299288,18124837.66
2025-09-12,STK0002,13.98,14.2718,13.4778,13.7651,1115567,15355892.58
2025-09-15,STK0002,13.6507,14.5399,13.3881,14.2655,2018597,28796204.46
2025-09-16,STK0002,14.3891,14.5132,14.0623,14.1846,881775,12507621.61
2025-09-17,STK0002,14.1723,14.4445,14.1056,14.3768,997704,14343800.35
2025-09-18,STK0002,14.4019,14.5239,14.2941,14.416,1242355,17909828.37
2025-09-19,STK0002,14.6186,14.8169,14.1241,14.3183,1732464,24806023.66
2025-09-22,STK0002,14.4492,14.646,13.6903,13.8793,745558,10347850.42
2025-09-23,STK0002,13.8538,14.1395,13.6405,13.9251,779711,10857528.93
2025-09-24,STK0002,13.8756,14.0294,13.4088,13.5591,595503,8074478.1
2025-09-25,STK0002,13.5326,14.1438,13.2606,13.8651,1241359,17211610.66
2025-09-26,STK0002,13.9076,14.5802,13.5877,14.2524,835960,11914429.49
2025-09-29,STK0002,14.2434,14.3527,13.9686,14.0766,1082392,15236424.89
2025-09-30,STK0002,14.0433,14.4871,13.7773,14.2178,1534806,21821606.96
2025-10-01,STK0002,14.3435,14.5959,13.6304,13.8745,984014,13652696.8
2025-10-02,STK0002,13.865,14.0595,13.4893,13.6813,1311279,17940005.12
2025-10-03,STK0002,13.8714,13.9593,13.7324,13.8199,1108126,15314227.17
2025-10-06,STK0002,13.8275,14.108,13.4607,13.7395,1625052,22327374.52
2025-10-07,STK0002,13.8875,14.4837,13.5528,14.143,1525148,21570122.72
2025-10-08,STK0002,14.1733,14.4415,13.9097,14.1777,1022618,14498396.62
2025-10-09,STK0002,14.2599,14.6675,13.9303,14.3361,1219112,17477367.6
2025-10-10,STK0002,14.274,14.8202,13.9223,14.4639,1813589,26231521.75
2025-10-13,STK0002,14.39,14.6277,14.2447,14.4815,1431379,20728447.02
2025-10-14,STK0002,14.5215,14.7637,14.0859,14.3248,752485,10779220.12
2025-10-15,STK0002,14.41,14.5959,14.1412,14.326,1510324,21636845.97
2025-10-16,STK0002,14.3294,14.7109,13.9756,14.3564,842889,12100857.69
2025-10-17,STK0002,14.246,14.3053,14.156,14.2151,2028235,28831506.29
2025-10-20,STK0002,14.0995,14.6351,13.9376,14.4689,1780539,25762460.1
2025-10-21,STK0002,14.3455,14.9195,14.028,14.5964,1370679,20006995.36
2025-10-22,STK0002,14.4424,14.8227,14.3192,14.6973,1305107,19181511.56
2025-10-23,STK0002,14.7069,15.5106,14.411,15.2047,1164813,17710591.46
2025-10-24,STK0002,15.3076,15.7479,15.1423,15.5796,1588388,24746402.73
2025-10-27,STK0002,15.5783,15.9606,14.9448,15.3208,1108962,16990136.95
2025-10-28,STK0002,15.1144,15.6283,14.777,15.2871,1367120,20899250.61
2025-10-29,STK0002,15.2696,15.4059,14.8727,15.0067,1699445,25503067.07
2025-10-30,STK0002,14.9921,15.363,14.6965,15.066,1007416,15177717.31
2025-10-31,STK0002,15.2567,15.4054,14.771,14.9164,959529,14312704.36
2025-11-03,STK0002,14.7865,15.6808,14.5508,15.4347,780674,12049476.21
2025-11-04,STK0002,15.3986,15.7468,15.1346,15.4813,817678,12658749.28
2025-11-05,STK0002,15.6406,15.9703,15.1098,15.4352,613882,9475383.09
2025-11-06,STK0002,15.4769,15.8822,15.4373,15.8416,1502168,23796688.45
2025-11-07,STK0002,15.8952,16.0075,15.0872,15.1945,2193275,33325778.61
2025-11-10,STK0002,15.205,15.4844,14.4306,14.7007,1856700,27294807.79
2025-11-11,STK0002,14.7298,15.0556,14.5095,14.8337,629442,9336942.54
2025-11-12,STK0002,14.9031,15.1027,14.6064,14.8048,1441980,21348162.91
2025-11-13,STK0002,14.733,14.8729,14.6849,14.8244,1851250,27443648.93
2025-11-14,STK0002,14.9027,15.0519,14.1958,14.3393,942645,13516880.07
2025-11-17,STK0002,14.2217,14.6977,13.9103,14.3828,1148781,16522657.31
2025-11-18,STK0002,14.4111,14.8939,14.3721,14.8536,557534,8281390.9
2025-11-19,STK0002,14.8695,15.2406,14.7042,15.073,1250502,18848779.58
2025-11-20,STK0002,15.0173,15.5307,14.6608,15.1705,783889,11892014.19
2025-11-21,STK0002,15.1685,15.2166,15.0505,15.0984,1211199,18287154.16
2025-11-24,STK0002,15.0421,15.3536,14.7526,15.0638,647833,9758797.6
2025-11-25,STK0002,14.9672,15.0858,14.3678,14.4825,1362493,19732364.9
2025-11-26,STK0002,14.4518,14.817,14.1349,14.499,1617403,23450772.4
2025-11-27,STK0002,14.4033,14.9902,14.1273,14.7084,867248,12755867.1
2025-11-28,STK0002,14.737,15.0666,13.7948,14.1105,767772,10833623.57
2025-12-01,STK0002,14.0134,14.1111,13.6906,13.7867,544076,7500985.97
2025-12-02,STK0002,13.8457,14.0426,13.1732,13.3632,1055608,14106303.73
2025-12-03,STK0002,13.2688,13.5332,12.7703,13.0299,956546,12463738.19
2025-12-04,STK0002,12.9857,13.1789,12.8864,13.0788,690277,9027988.85
2025-12-05,STK0002,13.0299,13.1251,12.4157,12.5071,1375315,17201162.0
2025-12-08,STK0002,12.6069,12.64,12.5732,12.6063,975812,12301363.21
2025-12-09,STK0002,12.6313,13.2126,12.3276,12.9023,802237,10350709.2
2025-12-10,STK0002,12.8859,13.1221,12.5711,12.8058,966481,12376558.41
2025-12-11,STK0002,12.8442,13.0576,12.1077,12.3123,1664036,20488159.83
2025-12-12,STK0002,12.1576,12.39,11.775,12.0044,1397395,16774874.47
2025-12-15,STK0002,12.0013,12.4255,11.8305,12.2512,1093792,13400303.46
2025-12-16,STK0002,12.399,12.5595,11.4166,11.5664,1415739,16375006.46
2025-12-17,STK0002,11.5756,11.7184,11.3201,11.4615,753493,8636146.53
2025-12-18,STK0002,11.4662,11.658,11.1008,11.2897,1168390,13190792.14
2025-12-19,STK0002,11.3269,11.4021,11.2264,11.3014,1197398,13532266.44
2025-12-22,STK0002,11.3623,11.6171,10.9478,11.1989,953298,10675912.35
2025-12-23,STK0002,11.0655,11.5316,10.8368,11.2981,1312845,14832617.35
2025-12-24,STK0002,11.1846,11.473,11.0723,11.359,862855,9801136.75
2025-12-25,STK0002,11.3733,11.7864,11.1992,11.6087,1365507,15851785.63
2025-12-26,STK0002,11.559,11.6303,11.4984,11.5696,1404818,16253217.81
2025-12-29,STK0002,11.6611,11.9452,11.3155,11.5981,418419,4852868.08
2025-12-30,STK0002,11.5762,11.8397,11.0517,11.3092,1774793,20071466.17
2025-12-31,STK0002,11.1787,11.821,10.9193,11.5529,401124,4634157.24
2026-01-01,STK0002,11.4654,11.644,11.3548,11.5329,940364,10845077.1
2026-01-02,STK0002,11.3441,11.4602,11.2773,11.3931,1672992,19060591.8
2026-01-05,STK0002,11.3771,11.4553,11.2193,11.2969,1049084,11851415.57
2026-01-06,STK0002,11.2842,11.3301,10.9508,10.9956,709916,7805952.2
2026-01-07,STK0002,10.9676,11.1092,10.9154,11.0565,815524,9016862.57
2026-01-08,STK0002,11.1283,11.4063,11.0878,11.365,1714230,19482139.66
2026-01-09,STK0002,11.447,11.7796,11.1635,11.4949,603435,6936453.45
2026-01-12,STK0002,11.4832,11.5257,11.1568,11.1983,1756937,19674658.37
2026-01-13,STK0002,11.0558,11.3527,10.9999,11.2957,1160347,13106957.36
2026-01-14,STK0002,11.3376,11.5797,11.0992,11.3412,781581,8864055.2
2026-01-15,STK0002,11.379,11.5537,10.7405,10.9079,999910,10906901.53
2026-01-16,STK0002,10.9282,11.1447,10.4102,10.6207,852242,9051366.25
2026-01-19,STK0002,10.6834,10.9322,10.507,10.7546,1658074,17831926.8
2026-01-20,STK0002,10.6797,10.9295,10.4417,10.6912,1607781,17189127.09
2026-01-21,STK0002,10.8208,11.0014,10.6396,10.8202,682678,7386697.01
2026-01-22,STK0002,10.7581,11.3229,10.6074,11.1665,1120512,12512190.19
2026-01-23,STK0002,11.2168,11.4231,10.9276,11.1324,948624,10560465.31
2026-01-26,STK0002,11.0203,11.3124,10.8848,11.175,2027821,22661000.04
